count,value
1,3
1,6
3,7
6,9
9,10
14,11
22,12
38,13
61,14
67,15
104,16
117,17
131,18
176,19
196,20
208,21
237,22
226,23
236,24
247,25
232,26
269,27
239,28
249,29
242,30
235,31
239,32
248,33
224,34
251,35
239,36
189,37
210,38
211,39
211,40
205,41
187,42
199,43
183,44
151,45
174,46
189,47
177,48
153,49
166,50
159,51
166,52
133,53
164,54
180,55
174,56
176,57
155,58
154,59
155,60
167,61
125,62
150,63
146,64
156,65
120,66
136,67
142,68
114,69
147,70
120,71
125,72
123,73
148,74
132,75
129,76
121,77
115,78
110,79
102,80
135,81
101,82
130,83
123,84
125,85
101,86
122,87
99,88
102,89
116,90
92,91
108,92
110,93
88,94
97,95
125,96
109,97
97,98
116,99
86,100
95,101
98,102
111,103
95,104
90,105
99,106
95,107
84,108
92,109
90,110
90,111
90,112
90,113
84,114
82,115
105,116
87,117
84,118
90,119
84,120
86,121
94,122
91,123
73,124
92,125
80,126
106,127
69,128
86,129
79,130
90,131
69,132
87,133
84,134
78,135
66,136
74,137
73,138
78,139
69,140
60,141
74,142
59,143
73,144
92,145
79,146
63,147
69,148
72,149
76,150
80,151
68,152
58,153
79,154
66,155
75,156
68,157
61,158
61,159
75,160
75,161
53,162
68,163
64,164
68,165
56,166
75,167
72,168
57,169
64,170
68,171
73,172
74,173
63,174
65,175
63,176
71,177
66,178
63,179
54,180
63,181
57,182
51,183
57,184
53,185
65,186
61,187
61,188
61,189
62,190
57,191
54,192
56,193
48,194
65,195
54,196
47,197
54,198
69,199
47,200
63,201
53,202
59,203
52,204
54,205
44,206
62,207
46,208
52,209
59,210
47,211
57,212
58,213
37,214
55,215
47,216
62,217
39,218
53,219
53,220
60,221
41,222
62,223
44,224
50,225
43,226
41,227
43,228
46,229
45,230
51,231
37,232
47,233
42,234
44,235
60,236
52,237
37,238
53,239
38,240
35,241
47,242
36,243
46,244
35,245
52,246
40,247
36,248
52,249
39,250
42,251
46,252
51,253
48,254
44,255
42,256
41,257
40,258
43,259
33,260
41,261
50,262
43,263
43,264
35,265
44,266
42,267
41,268
34,269
45,270
28,271
37,272
31,273
37,274
36,275
39,276
30,277
47,278
29,279
42,280
39,281
40,282
38,283
32,284
30,285
36,286
43,287
36,288
35,289
29,290
46,291
36,292
34,293
39,294
31,295
48,296
26,297
38,298
32,299
30,300
47,301
39,302
30,303
39,304
29,305
32,306
32,307
29,308
37,309
36,310
35,311
39,312
27,313
28,314
24,315
24,316
29,317
31,318
39,319
30,320
34,321
30,322
25,323
34,324
29,325
34,326
32,327
34,328
25,329
30,330
34,331
43,332
31,333
38,334
37,335
23,336
24,337
29,338
40,339
26,340
29,341
29,342
34,343
35,344
27,345
20,346
30,347
32,348
17,349
32,350
31,351
34,352
33,353
34,354
37,355
29,356
37,357
27,358
26,359
35,360
37,361
25,362
28,363
26,364
37,365
27,366
24,367
25,368
28,369
31,370
33,371
25,372
26,373
15,374
21,375
26,376
19,377
22,378
29,379
29,380
31,381
29,382
28,383
28,384
28,385
26,386
22,387
28,388
29,389
20,390
24,391
25,392
17,393
24,394
25,395
25,396
29,397
23,398
31,399
33,400
28,401
23,402
26,403
19,404
23,405
29,406
34,407
15,408
30,409
17,410
19,411
32,412
25,413
32,414
25,415
19,416
21,417
18,418
22,419
24,420
30,421
23,422
25,423
30,424
23,425
28,426
26,427
30,428
22,429
26,430
16,431
24,432
26,433
17,434
13,435
22,436
26,437
21,438
20,439
17,440
23,441
26,442
23,443
16,444
34,445
23,446
23,447
16,448
17,449
26,450
16,451
22,452
27,453
26,454
19,455
23,456
26,457
22,458
22,459
26,460
24,461
24,462
22,463
26,464
24,465
23,466
16,467
25,468
26,469
17,470
28,471
18,472
25,473
20,474
23,475
19,476
24,477
22,478
24,479
17,480
20,481
25,482
14,483
14,484
17,485
20,486
19,487
22,488
23,489
21,490
15,491
17,492
24,493
25,494
27,495
25,496
13,497
26,498
24,499
17,500
10,501
19,502
26,503
17,504
25,505
22,506
7,507
24,508
19,509
15,510
24,511
15,512
17,513
23,514
19,515
25,516
14,517
19,518
22,519
25,520
23,521
17,522
19,523
23,524
24,525
20,526
12,527
26,528
15,529
22,530
12,531
17,532
22,533
19,534
14,535
21,536
16,537
20,538
16,539
12,540
18,541
22,542
13,543
13,544
18,545
19,546
19,547
23,548
25,549
16,550
16,551
24,552
18,553
20,554
14,555
16,556
17,557
15,558
14,559
20,560
5,561
19,562
22,563
24,564
19,565
26,566
22,567
22,568
22,569
14,570
17,571
14,572
22,573
27,574
14,575
19,576
18,577
14,578
23,579
17,580
19,581
17,582
16,583
17,584
20,585
14,586
11,587
17,588
22,589
13,590
17,591
17,592
18,593
20,594
10,595
11,596
18,597
16,598
16,599
9,600
18,601
11,602
18,603
12,604
16,605
16,606
15,607
15,608
16,609
13,610
16,611
18,612
12,613
20,614
11,615
15,616
11,617
14,618
21,619
20,620
9,621
17,622
12,623
19,624
24,625
25,626
14,627
22,628
18,629
10,630
17,631
13,632
15,633
9,634
14,635
18,636
11,637
18,638
9,639
12,640
17,641
16,642
15,643
17,644
17,645
12,646
9,647
13,648
17,649
13,650
16,651
11,652
17,653
8,654
19,655
25,656
17,657
17,658
15,659
20,660
15,661
14,662
15,663
14,664
18,665
13,666
13,667
11,668
21,669
14,670
17,671
10,672
9,673
13,674
19,675
12,676
20,677
15,678
11,679
16,680
21,681
11,682
20,683
12,684
12,685
11,686
16,687
13,688
18,689
15,690
10,691
16,692
17,693
9,694
20,695
14,696
20,697
15,698
9,699
15,700
14,701
14,702
13,703
16,704
11,705
11,706
7,707
12,708
9,709
14,710
15,711
10,712
15,713
7,714
13,715
16,716
15,717
8,718
14,719
13,720
12,721
14,722
21,723
13,724
10,725
17,726
11,727
11,728
17,729
10,730
10,731
11,732
16,733
13,734
10,735
17,736
14,737
13,738
16,739
13,740
12,741
20,742
17,743
12,744
16,745
18,746
11,747
9,748
13,749
11,750
14,751
12,752
10,753
10,754
9,755
13,756
10,757
15,758
15,759
16,760
16,761
16,762
8,763
8,764
12,765
6,766
18,767
9,768
6,769
7,770
11,771
9,772
15,773
15,774
8,775
15,776
12,777
12,778
13,779
10,780
19,781
8,782
15,783
12,784
13,785
13,786
11,787
14,788
12,789
10,790
14,791
12,792
10,793
8,794
10,795
13,796
8,797
12,798
13,799
13,800
12,801
15,802
10,803
9,804
12,805
10,806
11,807
11,808
12,809
12,810
10,811
10,812
10,813
14,814
11,815
13,816
9,817
18,818
12,819
11,820
8,821
12,822
16,823
11,824
11,825
10,826
11,827
13,828
7,829
10,830
9,831
12,832
13,833
11,834
10,835
17,836
16,837
17,838
10,839
12,840
10,841
8,842
12,843
13,844
14,845
5,846
12,847
9,848
14,849
12,850
9,851
12,852
9,853
10,854
15,855
7,856
18,857
16,858
14,859
7,860
13,861
6,862
13,863
11,864
10,865
9,866
9,867
10,868
9,869
10,870
16,871
5,872
9,873
9,874
13,875
7,876
13,877
8,878
11,879
7,880
7,881
8,882
9,883
11,884
8,885
9,886
8,887
12,888
6,889
15,890
12,891
9,892
10,893
12,894
12,895
12,896
11,897
9,898
5,899
19,900
10,901
11,902
11,903
14,904
9,905
7,906
10,907
14,908
8,909
11,910
11,911
8,912
5,913
9,914
10,915
12,916
7,917
8,918
11,919
15,920
5,921
10,922
13,923
8,924
4,925
14,926
9,927
11,928
11,929
7,930
5,931
6,932
10,933
3,934
11,935
8,936
9,937
10,938
11,939
13,940
13,941
13,942
11,943
16,944
7,945
14,946
14,947
16,948
7,949
12,950
5,951
9,952
12,953
14,954
7,955
3,956
11,957
11,958
7,959
3,960
13,961
13,962
9,963
10,964
9,965
9,966
9,967
9,968
8,969
11,970
8,971
6,972
10,973
7,974
9,975
7,976
7,977
8,978
11,979
5,980
7,981
14,982
9,983
8,984
6,985
14,986
8,987
9,988
6,989
7,990
13,991
8,992
4,993
7,994
6,995
4,996
12,997
4,998
10,999
7,1000
10,1001
6,1002
7,1003
9,1004
6,1005
11,1006
11,1007
10,1008
10,1009
16,1010
13,1011
9,1012
7,1013
8,1014
8,1015
9,1016
11,1017
6,1018
5,1019
9,1020
9,1021
10,1022
9,1023
5,1024
8,1025
7,1026
8,1027
10,1028
12,1029
15,1030
4,1031
9,1032
12,1033
6,1034
10,1035
8,1036
4,1037
10,1038
10,1039
6,1040
7,1041
9,1042
7,1043
6,1044
7,1045
15,1046
4,1047
14,1048
5,1049
10,1050
8,1051
9,1052
4,1053
6,1054
8,1055
11,1056
9,1057
7,1058
11,1059
16,1060
8,1061
4,1062
11,1063
2,1064
10,1065
6,1066
7,1067
8,1068
8,1069
5,1070
6,1071
8,1072
13,1073
10,1074
7,1075
3,1076
10,1077
12,1078
9,1079
8,1080
1,1081
11,1082
7,1083
10,1084
4,1085
16,1086
10,1087
12,1088
10,1089
8,1090
4,1091
9,1092
7,1093
7,1094
11,1095
6,1096
10,1097
7,1098
3,1099
5,1100
6,1101
10,1102
6,1103
7,1104
6,1105
14,1106
8,1107
9,1108
7,1109
12,1110
8,1111
6,1112
9,1113
13,1114
10,1115
10,1116
9,1117
4,1118
10,1119
9,1120
13,1121
9,1122
7,1123
3,1124
9,1125
3,1126
9,1127
9,1128
9,1129
3,1130
8,1131
4,1132
7,1133
10,1134
7,1135
9,1136
9,1137
10,1138
6,1139
5,1140
11,1141
4,1142
3,1143
3,1144
9,1145
11,1146
9,1147
4,1148
10,1149
5,1150
8,1151
11,1152
4,1153
9,1154
8,1155
10,1156
5,1157
13,1158
4,1159
10,1160
7,1161
6,1162
9,1163
9,1164
7,1165
4,1166
10,1167
7,1168
7,1169
5,1170
8,1171
8,1172
8,1173
5,1174
7,1175
12,1176
10,1177
6,1178
7,1179
6,1180
2,1181
6,1182
9,1183
10,1184
8,1185
8,1186
6,1187
10,1188
10,1189
7,1190
11,1191
6,1192
10,1193
5,1194
8,1195
6,1196
6,1197
5,1198
13,1199
2,1200
5,1201
9,1202
8,1203
7,1204
4,1205
11,1206
8,1207
6,1208
10,1209
5,1210
7,1211
15,1212
6,1213
7,1214
5,1215
10,1216
5,1217
5,1218
6,1219
3,1220
1,1221
7,1222
8,1223
9,1224
7,1225
6,1226
5,1227
8,1228
10,1229
2,1230
6,1231
5,1232
5,1233
6,1234
7,1235
10,1236
4,1237
7,1238
7,1239
6,1240
10,1241
6,1242
7,1243
7,1244
10,1245
11,1246
3,1247
7,1248
5,1249
7,1250
5,1251
6,1252
4,1253
11,1254
8,1255
7,1256
9,1257
6,1258
15,1259
9,1260
5,1261
5,1262
6,1263
7,1264
6,1265
8,1266
8,1267
10,1268
7,1269
4,1270
7,1271
5,1272
7,1273
5,1274
11,1275
5,1276
5,1277
3,1278
6,1279
8,1280
7,1281
5,1282
8,1283
3,1284
7,1285
8,1286
9,1287
3,1288
5,1289
10,1290
10,1291
1,1292
7,1293
6,1294
7,1295
7,1296
7,1297
5,1298
4,1299
9,1300
5,1301
5,1302
4,1303
10,1304
2,1305
7,1306
6,1307
5,1308
8,1309
10,1310
13,1311
11,1312
7,1313
7,1314
6,1315
8,1316
5,1317
9,1318
6,1319
6,1320
5,1321
2,1322
5,1323
10,1324
11,1325
7,1326
10,1327
4,1328
6,1329
8,1330
12,1331
6,1332
7,1333
6,1334
6,1335
5,1336
8,1337
5,1338
4,1339
7,1340
7,1341
6,1342
11,1343
6,1344
6,1345
1,1346
8,1347
10,1348
6,1349
7,1350
5,1351
3,1352
9,1353
5,1354
9,1355
6,1356
7,1357
6,1358
4,1359
5,1360
4,1361
5,1362
9,1363
9,1364
8,1365
10,1366
7,1367
6,1368
5,1369
2,1370
4,1371
5,1372
7,1373
7,1374
8,1375
3,1376
4,1377
4,1378
9,1379
6,1380
4,1381
7,1382
3,1383
4,1384
3,1385
10,1386
12,1387
3,1388
9,1389
9,1390
4,1391
6,1392
7,1393
10,1394
8,1395
7,1396
6,1397
7,1398
9,1399
3,1400
2,1401
12,1402
9,1403
6,1404
4,1405
6,1406
7,1407
2,1408
5,1409
3,1410
3,1411
5,1412
13,1413
6,1414
7,1415
6,1416
4,1417
4,1418
9,1419
6,1420
8,1421
14,1422
8,1423
6,1424
7,1425
6,1426
10,1427
8,1428
10,1429
10,1430
2,1431
4,1432
3,1433
3,1434
6,1435
9,1436
2,1437
9,1438
5,1439
6,1440
6,1441
5,1442
7,1443
8,1444
6,1445
3,1446
7,1447
6,1448
5,1449
6,1450
8,1451
4,1452
8,1453
2,1454
4,1455
4,1456
5,1457
8,1458
5,1459
9,1460
6,1461
3,1462
3,1463
8,1464
8,1465
5,1466
9,1467
6,1468
7,1469
8,1470
6,1471
3,1472
6,1473
4,1474
7,1475
4,1476
9,1477
4,1478
9,1479
6,1480
5,1481
15,1482
7,1483
4,1484
6,1485
10,1486
5,1487
8,1488
11,1489
6,1490
2,1491
6,1492
5,1493
8,1494
6,1495
5,1496
4,1497
7,1498
7,1499
5,1500
7,1501
7,1502
5,1503
7,1504
11,1505
8,1506
2,1507
6,1508
