count,value
911349,
5510668,0.0
1963263,1.0
1038333,2.0
650155,3.0
453643,4.0
327488,5.0
257770,6.0
202104,7.0
167591,8.0
138068,9.0
118839,10.0
100255,11.0
88645,12.0
76654,13.0
68266,14.0
60579,15.0
54673,16.0
48295,17.0
44454,18.0
39760,19.0
36495,20.0
32989,21.0
30986,22.0
28370,23.0
26666,24.0
24204,25.0
22896,26.0
20679,27.0
19460,28.0
18180,29.0
17165,30.0
16230,31.0
15075,32.0
14274,33.0
13669,34.0
12744,35.0
12229,36.0
11387,37.0
10871,38.0
10067,39.0
9822,40.0
9409,41.0
9095,42.0
8592,43.0
8198,44.0
7758,45.0
7572,46.0
7243,47.0
7052,48.0
6761,49.0
6667,50.0
6234,51.0
6189,52.0
5819,53.0
5682,54.0
5411,55.0
5321,56.0
5217,57.0
4964,58.0
4758,59.0
4659,60.0
4491,61.0
4501,62.0
4350,63.0
4067,64.0
3947,65.0
3880,66.0
3806,67.0
3754,68.0
3599,69.0
3585,70.0
3560,71.0
3271,72.0
3351,73.0
3233,74.0
3099,75.0
3028,76.0
2936,77.0
3041,78.0
2843,79.0
2791,80.0
2755,81.0
2644,82.0
2617,83.0
2537,84.0
2609,85.0
2588,86.0
2375,87.0
2338,88.0
2362,89.0
2325,90.0
2215,91.0
2115,92.0
2173,93.0
2171,94.0
2143,95.0
2052,96.0
1993,97.0
2003,98.0
1967,99.0
1885,100.0
1838,101.0
1785,102.0
1851,103.0
1816,104.0
1806,105.0
1752,106.0
1771,107.0
1727,108.0
1655,109.0
1703,110.0
1578,111.0
1628,112.0
1515,113.0
1559,114.0
1485,115.0
1475,116.0
1441,117.0
1443,118.0
1410,119.0
1366,120.0
1388,121.0
1382,122.0
1365,123.0
1409,124.0
1296,125.0
1301,126.0
1240,127.0
1287,128.0
1291,129.0
1260,130.0
1225,131.0
1267,132.0
1163,133.0
1193,134.0
1141,135.0
1135,136.0
1159,137.0
1140,138.0
1107,139.0
1089,140.0
1047,141.0
1115,142.0
1059,143.0
1030,144.0
1026,145.0
996,146.0
1028,147.0
1014,148.0
920,149.0
1103,150.0
970,151.0
1004,152.0
1036,153.0
925,154.0
938,155.0
922,156.0
919,157.0
918,158.0
911,159.0
833,160.0
911,161.0
873,162.0
890,163.0
839,164.0
869,165.0
910,166.0
764,167.0
824,168.0
861,169.0
816,170.0
697,171.0
800,172.0
766,173.0
813,174.0
778,175.0
741,176.0
749,177.0
789,178.0
719,179.0
734,180.0
737,181.0
720,182.0
771,183.0
722,184.0
698,185.0
653,186.0
658,187.0
668,188.0
727,189.0
693,190.0
694,191.0
639,192.0
658,193.0
654,194.0
665,195.0
639,196.0
647,197.0
621,198.0
650,199.0
633,200.0
633,201.0
607,202.0
613,203.0
664,204.0
589,205.0
568,206.0
607,207.0
624,208.0
595,209.0
553,210.0
578,211.0
566,212.0
561,213.0
537,214.0
571,215.0
546,216.0
565,217.0
487,218.0
522,219.0
540,220.0
538,221.0
588,222.0
540,223.0
491,224.0
535,225.0
531,226.0
543,227.0
500,228.0
482,229.0
471,230.0
488,231.0
477,232.0
469,233.0
520,234.0
525,235.0
475,236.0
531,237.0
444,238.0
448,239.0
467,240.0
434,241.0
464,242.0
459,243.0
484,244.0
431,245.0
431,246.0
435,247.0
501,248.0
477,249.0
410,250.0
446,251.0
443,252.0
427,253.0
439,254.0
402,255.0
428,256.0
414,257.0
418,258.0
417,259.0
429,260.0
386,261.0
402,262.0
391,263.0
411,264.0
399,265.0
411,266.0
395,267.0
398,268.0
421,269.0
404,270.0
372,271.0
372,272.0
376,273.0
342,274.0
336,275.0
368,276.0
357,277.0
400,278.0
339,279.0
391,280.0
379,281.0
368,282.0
354,283.0
362,284.0
357,285.0
370,286.0
339,287.0
339,288.0
379,289.0
350,290.0
333,291.0
343,292.0
349,293.0
338,294.0
331,295.0
330,296.0
351,297.0
358,298.0
330,299.0
322,300.0
328,301.0
337,302.0
358,303.0
307,304.0
309,305.0
318,306.0
310,307.0
319,308.0
297,309.0
298,310.0
324,311.0
294,312.0
329,313.0
276,314.0
313,315.0
311,316.0
309,317.0
312,318.0
304,319.0
289,320.0
271,321.0
