count,value
924950,
7681749,0.0
1075263,1.0
497035,2.0
313919,3.0
225696,4.0
204744,5.0
142854,6.0
117629,7.0
108178,8.0
85584,9.0
75643,10.0
67190,11.0
60545,12.0
55687,13.0
50672,14.0
45856,15.0
42037,16.0
39100,17.0
36557,18.0
34100,19.0
31828,20.0
29943,21.0
28232,22.0
26695,23.0
25166,24.0
23703,25.0
22583,26.0
21688,27.0
20544,28.0
19792,29.0
18828,30.0
17907,31.0
17257,32.0
16451,33.0
15793,34.0
15408,35.0
14697,36.0
14435,37.0
13880,38.0
13167,39.0
12650,40.0
12173,41.0
12110,42.0
11501,43.0
11200,44.0
10934,45.0
10582,46.0
10278,47.0
10041,48.0
9656,49.0
9496,50.0
9233,51.0
8830,52.0
8577,53.0
8559,54.0
8101,55.0
8010,56.0
7860,57.0
7678,58.0
7505,59.0
7173,60.0
7203,61.0
7009,62.0
6769,63.0
6744,64.0
6573,65.0
6420,66.0
6200,67.0
6062,68.0
5960,69.0
5901,70.0
5763,71.0
5691,72.0
5556,73.0
5448,74.0
5362,75.0
5278,76.0
5218,77.0
5095,78.0
4977,79.0
4766,80.0
4843,81.0
4716,82.0
4659,83.0
4660,84.0
4541,85.0
4397,86.0
4442,87.0
4220,88.0
4153,89.0
4139,90.0
4138,91.0
4065,92.0
3911,93.0
3942,94.0
3801,95.0
3771,96.0
3708,97.0
3728,98.0
3556,99.0
3609,100.0
3541,101.0
3367,102.0
3359,103.0
3232,104.0
3275,105.0
3275,106.0
3214,107.0
3275,108.0
3146,109.0
2970,110.0
3020,111.0
2961,112.0
2849,113.0
2908,114.0
2893,115.0
2855,116.0
2830,117.0
2762,118.0
2802,119.0
2714,120.0
2621,121.0
2682,122.0
2646,123.0
2528,124.0
2613,125.0
2529,126.0
2533,127.0
2593,128.0
2534,129.0
2425,130.0
2350,131.0
2364,132.0
2261,133.0
2319,134.0
2274,135.0
2348,136.0
2231,137.0
2242,138.0
2218,139.0
2132,140.0
2196,141.0
2127,142.0
2162,143.0
2067,144.0
2033,145.0
2041,146.0
1995,147.0
2028,148.0
2030,149.0
1961,150.0
1887,151.0
1898,152.0
1869,153.0
1858,154.0
1840,155.0
1908,156.0
1730,157.0
1740,158.0
1825,159.0
1724,160.0
1714,161.0
1751,162.0
1767,163.0
1674,164.0
1667,165.0
1656,166.0
1659,167.0
1604,168.0
1622,169.0
1692,170.0
1558,171.0
1609,172.0
1588,173.0
1495,174.0
1465,175.0
1550,176.0
1566,177.0
1516,178.0
1483,179.0
1547,180.0
1475,181.0
1436,182.0
1471,183.0
1463,184.0
1494,185.0
1423,186.0
1348,187.0
1351,188.0
1369,189.0
1380,190.0
1331,191.0
1372,192.0
1270,193.0
1257,194.0
1255,195.0
1339,196.0
1242,197.0
1337,198.0
1237,199.0
1316,200.0
1285,201.0
1288,202.0
1194,203.0
1312,204.0
1145,205.0
1221,206.0
1200,207.0
1160,208.0
1172,209.0
1115,210.0
1181,211.0
1143,212.0
1140,213.0
1070,214.0
1075,215.0
1207,216.0
1151,217.0
1031,218.0
1060,219.0
1140,220.0
1059,221.0
1092,222.0
1010,223.0
1048,224.0
1028,225.0
1012,226.0
1040,227.0
1007,228.0
1061,229.0
940,230.0
998,231.0
971,232.0
1015,233.0
949,234.0
970,235.0
952,236.0
952,237.0
983,238.0
960,239.0
973,240.0
919,241.0
930,242.0
931,243.0
982,244.0
901,245.0
905,246.0
949,247.0
886,248.0
905,249.0
898,250.0
886,251.0
932,252.0
885,253.0
885,254.0
898,255.0
859,256.0
896,257.0
901,258.0
841,259.0
858,260.0
791,261.0
803,262.0
830,263.0
824,264.0
787,265.0
785,266.0
771,267.0
767,268.0
782,269.0
797,270.0
831,271.0
807,272.0
770,273.0
771,274.0
793,275.0
810,276.0
776,277.0
756,278.0
725,279.0
765,280.0
767,281.0
765,282.0
751,283.0
708,284.0
723,285.0
740,286.0
761,287.0
705,288.0
678,289.0
745,290.0
685,291.0
754,292.0
721,293.0
659,294.0
692,295.0
728,296.0
691,297.0
707,298.0
664,299.0
668,300.0
670,301.0
692,302.0
665,303.0
652,304.0
631,305.0
631,306.0
594,307.0
615,308.0
648,309.0
590,310.0
620,311.0
582,312.0
648,313.0
647,314.0
606,315.0
661,316.0
644,317.0
619,318.0
614,319.0
623,320.0
579,321.0
595,322.0
538,323.0
564,324.0
571,325.0
584,326.0
556,327.0
614,328.0
625,329.0
557,330.0
583,331.0
587,332.0
535,333.0
555,334.0
577,335.0
539,336.0
540,337.0
549,338.0
551,339.0
550,340.0
517,341.0
556,342.0
540,343.0
543,344.0
539,345.0
500,346.0
521,347.0
511,348.0
507,349.0
518,350.0
516,351.0
531,352.0
499,353.0
515,354.0
500,355.0
511,356.0
492,357.0
500,358.0
497,359.0
451,360.0
513,361.0
512,362.0
493,363.0
495,364.0
516,365.0
496,366.0
473,367.0
463,368.0
459,369.0
478,370.0
454,371.0
494,372.0
433,373.0
464,374.0
436,375.0
476,376.0
441,377.0
454,378.0
457,379.0
468,380.0
450,381.0
429,382.0
459,383.0
438,384.0
501,385.0
453,386.0
459,387.0
468,388.0
431,389.0
406,390.0
445,391.0
444,392.0
443,393.0
426,394.0
462,395.0
432,396.0
417,397.0
398,398.0
435,399.0
429,400.0
391,401.0
424,402.0
438,403.0
402,404.0
426,405.0
428,406.0
407,407.0
384,408.0
407,409.0
406,410.0
386,411.0
396,412.0
405,413.0
369,414.0
397,415.0
390,416.0
372,417.0
344,418.0
417,419.0
354,420.0
385,421.0
367,422.0
374,423.0
369,424.0
380,425.0
393,426.0
384,427.0
382,428.0
368,429.0
356,430.0
380,431.0
376,432.0
355,433.0
370,434.0
383,435.0
345,436.0
352,437.0
383,438.0
380,439.0
382,440.0
347,441.0
378,442.0
345,443.0
364,444.0
346,445.0
353,446.0
375,447.0
335,448.0
379,449.0
347,450.0
333,451.0
339,452.0
344,453.0
332,454.0
373,455.0
312,456.0
332,457.0
353,458.0
335,459.0
326,460.0
358,461.0
328,462.0
333,463.0
314,464.0
320,465.0
312,466.0
317,467.0
328,468.0
348,469.0
325,470.0
338,471.0
323,472.0
310,473.0
325,474.0
341,475.0
312,476.0
339,477.0
283,478.0
338,479.0
292,480.0
304,481.0
320,482.0
310,483.0
302,484.0
318,485.0
316,486.0
326,487.0
326,488.0
262,489.0
300,490.0
282,491.0
327,492.0
307,493.0
265,494.0
309,495.0
318,496.0
303,497.0
282,498.0
321,499.0
286,500.0
292,501.0
269,502.0
303,503.0
260,504.0
292,505.0
286,506.0
290,507.0
299,508.0
290,509.0
260,510.0
260,511.0
263,512.0
261,513.0
284,514.0
293,515.0
258,516.0
264,517.0
257,518.0
252,519.0
289,520.0
272,521.0
271,522.0
271,523.0
258,524.0
266,525.0
259,526.0
261,527.0
255,528.0
286,529.0
246,530.0
270,531.0
275,532.0
243,533.0
241,534.0
256,535.0
250,536.0
243,537.0
263,538.0
272,539.0
240,540.0
255,541.0
263,542.0
249,543.0
263,544.0
272,545.0
280,546.0
238,547.0
239,548.0
240,549.0
256,550.0
226,551.0
262,552.0
269,553.0
239,554.0
249,555.0
276,556.0
242,557.0
236,558.0
235,559.0
249,560.0
235,561.0
237,562.0
237,563.0
264,564.0
233,565.0
254,566.0
217,567.0
222,568.0
219,569.0
231,570.0
235,571.0
240,572.0
237,573.0
212,574.0
224,575.0
254,576.0
230,577.0
214,578.0
242,579.0
232,580.0
230,581.0
252,582.0
218,583.0
219,584.0
259,585.0
224,586.0
207,587.0
225,588.0
232,589.0
218,590.0
216,591.0
217,592.0
217,593.0
207,594.0
218,595.0
226,596.0
200,597.0
223,598.0
232,599.0
238,600.0
224,601.0
211,602.0
219,603.0
202,604.0
202,605.0
201,606.0
213,607.0
209,608.0
198,609.0
194,610.0
187,611.0
201,612.0
196,613.0
197,614.0
231,615.0
233,616.0
203,617.0
206,618.0
187,619.0
230,620.0
202,621.0
198,622.0
211,623.0
200,624.0
187,625.0
209,626.0
170,627.0
196,628.0
177,629.0
215,630.0
192,631.0
196,632.0
205,633.0
199,634.0
204,635.0
201,636.0
171,637.0
195,638.0
193,639.0
188,640.0
196,641.0
193,642.0
173,643.0
177,644.0
170,645.0
203,646.0
185,647.0
202,648.0
191,649.0
182,650.0
187,651.0
174,652.0
191,653.0
201,654.0
180,655.0
195,656.0
164,657.0
185,658.0
187,659.0
182,660.0
197,661.0
215,662.0
198,663.0
178,664.0
177,665.0
185,666.0
178,667.0
186,668.0
175,669.0
186,670.0
185,671.0
189,672.0
174,673.0
170,674.0
173,675.0
199,676.0
191,677.0
204,678.0
164,679.0
175,680.0
171,681.0
157,682.0
157,683.0
166,684.0
179,685.0
146,686.0
168,687.0
171,688.0
168,689.0
162,690.0
176,691.0
154,692.0
157,693.0
169,694.0
177,695.0
158,696.0
131,697.0
162,698.0
200,699.0
158,700.0
172,701.0
160,702.0
158,703.0
165,704.0
176,705.0
182,706.0
177,707.0
165,708.0
146,709.0
140,710.0
184,711.0
142,712.0
138,713.0
160,714.0
145,715.0
171,716.0
150,717.0
153,718.0
173,719.0
158,720.0
148,721.0
150,722.0
172,723.0
148,724.0
164,725.0
168,726.0
145,727.0
136,728.0
120,729.0
149,730.0
162,731.0
179,732.0
172,733.0
134,734.0
172,735.0
145,736.0
150,737.0
169,738.0
119,739.0
129,740.0
187,741.0
159,742.0
152,743.0
161,744.0
157,745.0
146,746.0
153,747.0
156,748.0
154,749.0
137,750.0
159,751.0
144,752.0
146,753.0
161,754.0
159,755.0
140,756.0
136,757.0
150,758.0
161,759.0
152,760.0
162,761.0
168,762.0
136,763.0
148,764.0
134,765.0
151,766.0
145,767.0
149,768.0
122,769.0
136,770.0
138,771.0
156,772.0
144,773.0
139,774.0
127,775.0
151,776.0
129,777.0
143,778.0
141,779.0
133,780.0
151,781.0
124,782.0
130,783.0
162,784.0
164,785.0
136,786.0
132,787.0
125,788.0
148,789.0
139,790.0
164,791.0
163,792.0
151,793.0
121,794.0
149,795.0
131,796.0
135,797.0
148,798.0
147,799.0
137,800.0
138,801.0
122,802.0
127,803.0
124,804.0
157,805.0
137,806.0
135,807.0
125,808.0
145,809.0
139,810.0
134,811.0
119,812.0
139,813.0
118,814.0
132,815.0
140,816.0
127,817.0
123,818.0
126,819.0
128,820.0
116,821.0
111,822.0
111,823.0
149,824.0
118,825.0
117,826.0
120,827.0
116,828.0
126,829.0
113,830.0
131,831.0
116,832.0
125,833.0
127,834.0
141,835.0
105,836.0
113,837.0
112,838.0
127,839.0
124,840.0
100,841.0
116,842.0
114,843.0
114,844.0
122,845.0
143,846.0
119,847.0
114,848.0
125,849.0
121,850.0
116,851.0
127,852.0
112,853.0
148,854.0
116,855.0
122,856.0
118,857.0
112,858.0
123,859.0
114,860.0
120,861.0
103,862.0
101,863.0
110,864.0
137,865.0
108,866.0
97,867.0
120,868.0
113,869.0
129,870.0
92,871.0
129,872.0
110,873.0
104,874.0
104,875.0
111,876.0
116,877.0
119,878.0
100,879.0
109,880.0
113,881.0
111,882.0
104,883.0
118,884.0
105,885.0
118,886.0
105,887.0
110,888.0
90,889.0
96,890.0
122,891.0
100,892.0
101,893.0
108,894.0
128,895.0
134,896.0
124,897.0
111,898.0
116,899.0
113,900.0
115,901.0
104,902.0
92,903.0
101,904.0
107,905.0
119,906.0
95,907.0
106,908.0
87,909.0
98,910.0
100,911.0
95,912.0
98,913.0
115,914.0
122,915.0
99,916.0
112,917.0
97,918.0
108,919.0
123,920.0
116,921.0
122,922.0
105,923.0
109,924.0
99,925.0
111,926.0
81,927.0
104,928.0
101,929.0
105,930.0
95,931.0
114,932.0
101,933.0
99,934.0
102,935.0
93,936.0
101,937.0
95,938.0
110,939.0
116,940.0
122,941.0
106,942.0
90,943.0
96,944.0
96,945.0
90,946.0
96,947.0
105,948.0
100,949.0
103,950.0
95,951.0
100,952.0
107,953.0
103,954.0
95,955.0
91,956.0
96,957.0
106,958.0
115,959.0
103,960.0
95,961.0
95,962.0
91,963.0
84,964.0
