count,value
1,-5955
1,-5324
1,-4208
1,-3535
1,-1706
1,-1368
1,-1348
1,-1330
1,-1298
1,-1184
1,-812
1,-810
1,-783
1,-741
1,-656
1,-641
1,-638
1,-621
1,-566
1,-523
1,-486
1,-444
1,-437
1,-430
1,-424
1,-410
1,-380
1,-339
1,-336
1,-305
1,-296
1,-289
1,-286
1,-277
1,-271
1,-264
1,-263
1,-250
1,-244
1,-241
1,-230
1,-227
1,-213
1,-208
1,-205
1,-192
2,-191
1,-188
1,-187
1,-186
2,-185
1,-184
1,-179
2,-172
1,-171
1,-169
1,-168
1,-167
1,-166
2,-165
1,-163
2,-162
1,-161
1,-156
1,-154
2,-153
1,-152
2,-150
2,-149
1,-145
1,-141
2,-140
2,-139
1,-134
1,-133
1,-131
3,-128
1,-126
1,-121
2,-119
2,-118
2,-115
1,-113
3,-112
1,-111
5,-110
1,-109
1,-108
1,-107
3,-105
2,-104
1,-103
1,-102
1,-101
1,-100
3,-99
2,-98
5,-97
3,-96
2,-94
5,-93
5,-92
3,-91
2,-90
2,-88
4,-87
1,-86
8,-85
3,-84
3,-83
4,-82
4,-81
5,-80
5,-79
4,-78
7,-77
3,-76
5,-75
6,-74
4,-73
3,-72
5,-71
5,-70
9,-69
7,-68
7,-67
5,-66
9,-65
9,-64
15,-63
5,-62
15,-61
7,-60
10,-59
12,-58
9,-57
9,-56
5,-55
9,-54
14,-53
13,-52
20,-51
6,-50
29,-49
15,-48
27,-47
27,-46
23,-45
26,-44
29,-43
35,-42
32,-41
44,-40
48,-39
46,-38
51,-37
52,-36
72,-35
66,-34
113,-33
90,-32
127,-31
126,-30
140,-29
179,-28
185,-27
189,-26
235,-25
278,-24
307,-23
347,-22
340,-21
469,-20
500,-19
583,-18
653,-17
683,-16
785,-15
909,-14
1103,-13
1188,-12
1336,-11
1528,-10
1948,-9
2395,-8
2973,-7
3904,-6
5039,-5
6729,-4
8485,-3
10971,-2
13858,-1
19966,0
35111,1
26605,2
23225,3
19988,4
17087,5
14477,6
12317,7
10527,8
8952,9
7784,10
6533,11
5963,12
5159,13
4547,14
4223,15
3731,16
3434,17
3163,18
2889,19
2546,20
2406,21
2345,22
2152,23
2127,24
1863,25
1833,26
1671,27
1606,28
1551,29
1512,30
1448,31
1349,32
1312,33
1242,34
1125,35
1182,36
1083,37
1055,38
986,39
1004,40
990,41
922,42
922,43
859,44
856,45
834,46
805,47
780,48
750,49
704,50
727,51
637,52
698,53
623,54
617,55
632,56
591,57
563,58
526,59
554,60
534,61
510,62
486,63
478,64
457,65
469,66
520,67
469,68
445,69
437,70
421,71
424,72
423,73
405,74
394,75
371,76
401,77
355,78
380,79
373,80
364,81
371,82
358,83
357,84
320,85
316,86
303,87
311,88
307,89
299,90
300,91
305,92
290,93
322,94
305,95
264,96
235,97
269,98
235,99
258,100
260,101
265,102
253,103
230,104
269,105
234,106
239,107
218,108
208,109
210,110
231,111
222,112
228,113
191,114
226,115
220,116
188,117
196,118
208,119
201,120
185,121
192,122
172,123
168,124
190,125
182,126
173,127
163,128
190,129
183,130
166,131
185,132
168,133
168,134
157,135
149,136
152,137
158,138
159,139
162,140
168,141
141,142
135,143
141,144
155,145
130,146
142,147
130,148
148,149
110,150
145,151
116,152
144,153
127,154
140,155
137,156
115,157
121,158
127,159
136,160
128,161
122,162
112,163
104,164
115,165
121,166
114,167
126,168
126,169
105,170
112,171
98,172
99,173
113,174
100,175
89,176
93,177
100,178
104,179
124,180
106,181
87,182
112,183
100,184
88,185
102,186
93,187
87,188
63,189
87,190
73,191
101,192
87,193
85,194
81,195
90,196
89,197
78,198
73,199
88,200
63,201
73,202
74,203
70,204
94,205
86,206
80,207
76,208
71,209
81,210
71,211
66,212
67,213
64,214
71,215
69,216
71,217
82,218
75,219
74,220
70,221
73,222
56,223
69,224
59,225
55,226
64,227
61,228
65,229
73,230
71,231
66,232
58,233
69,234
54,235
56,236
58,237
62,238
62,239
58,240
60,241
47,242
46,243
55,244
55,245
54,246
60,247
49,248
63,249
46,250
56,251
46,252
50,253
59,254
52,255
44,256
51,257
45,258
56,259
47,260
60,261
43,262
47,263
43,264
32,265
49,266
48,267
47,268
40,269
42,270
46,271
46,272
48,273
38,274
39,275
42,276
41,277
33,278
46,279
31,280
36,281
44,282
42,283
31,284
38,285
40,286
45,287
35,288
38,289
33,290
38,291
35,292
31,293
47,294
42,295
50,296
32,297
33,298
22,299
35,300
26,301
35,302
27,303
30,304
32,305
37,306
34,307
33,308
27,309
35,310
29,311
35,312
37,313
25,314
40,315
31,316
26,317
43,318
31,319
21,320
33,321
29,322
38,323
25,324
35,325
31,326
32,327
30,328
28,329
30,330
35,331
20,332
31,333
26,334
31,335
27,336
23,337
25,338
22,339
26,340
29,341
24,342
23,343
28,344
27,345
25,346
31,347
20,348
27,349
25,350
25,351
17,352
24,353
24,354
28,355
20,356
31,357
23,358
18,359
31,360
22,361
29,362
31,363
21,364
15,365
25,366
18,367
18,368
30,369
19,370
20,371
20,372
13,373
14,374
17,375
20,376
27,377
23,378
19,379
19,380
20,381
22,382
17,383
15,384
26,385
14,386
14,387
13,388
23,389
14,390
20,391
13,392
18,393
19,394
10,395
25,396
17,397
18,398
21,399
22,400
19,401
18,402
13,403
21,404
11,405
14,406
13,407
15,408
19,409
10,410
16,411
15,412
17,413
14,414
16,415
13,416
16,417
17,418
11,419
13,420
17,421
19,422
18,423
13,424
7,425
16,426
22,427
18,428
16,429
15,430
20,431
18,432
9,433
14,434
17,435
12,436
13,437
18,438
14,439
12,440
6,441
15,442
6,443
17,444
15,445
11,446
7,447
14,448
15,449
11,450
22,451
15,452
8,453
11,454
14,455
15,456
6,457
9,458
15,459
11,460
12,461
14,462
15,463
7,464
16,465
8,466
10,467
16,468
8,469
8,470
13,471
15,472
9,473
14,474
11,475
12,476
9,477
17,478
9,479
13,480
14,481
14,482
6,483
15,484
7,485
12,486
9,487
11,488
16,489
15,490
13,491
6,492
11,493
12,494
11,495
14,496
9,497
8,498
15,499
7,500
7,501
6,502
10,503
11,504
12,505
7,506
7,507
2,508
10,509
8,510
9,511
9,512
7,513
8,514
8,515
9,516
11,517
2,518
10,519
9,520
14,521
8,522
9,523
13,524
8,525
4,526
7,527
9,528
5,529
12,530
12,531
7,532
8,533
6,534
12,535
12,536
9,537
9,538
4,539
13,540
6,541
10,542
5,543
9,544
13,545
8,546
14,547
18,548
6,549
12,550
10,551
12,552
7,553
15,554
8,555
10,556
7,557
9,558
6,559
7,560
3,561
5,562
10,563
6,564
8,565
9,566
7,567
8,568
4,569
7,570
5,571
5,572
11,573
6,574
8,575
5,576
6,577
10,578
10,579
6,580
5,581
5,582
7,583
8,584
8,585
9,586
10,587
8,588
9,589
7,590
8,591
8,592
4,593
7,594
7,595
10,596
9,597
5,598
7,599
6,600
5,601
9,602
6,603
13,604
3,605
6,606
8,607
6,608
5,609
9,610
3,611
9,612
7,613
6,614
4,615
2,616
10,617
4,618
7,619
10,620
7,621
6,622
6,623
5,624
8,625
7,626
6,627
9,628
9,629
5,630
5,631
6,632
9,633
12,634
5,635
5,636
9,637
10,638
7,639
7,640
4,641
6,642
3,643
7,644
6,645
6,646
5,647
10,648
2,649
4,650
8,651
7,652
4,653
6,654
8,655
5,656
8,657
5,658
7,659
5,660
5,661
4,662
2,663
9,664
8,665
4,666
3,667
4,668
2,669
7,670
10,671
5,672
3,673
7,674
6,675
8,676
4,677
6,678
10,679
1,680
7,681
8,682
3,683
4,684
6,685
11,686
6,687
3,688
4,689
1,690
6,691
3,692
8,693
1,694
3,695
5,696
3,697
5,698
3,699
6,700
2,701
4,702
7,703
5,704
5,705
4,706
5,707
5,708
3,709
5,710
1,711
5,712
4,713
7,714
2,715
4,716
3,717
6,718
5,719
5,720
7,721
9,722
4,723
3,724
10,725
4,726
5,727
4,728
6,729
3,730
5,731
5,732
5,733
5,734
3,735
6,736
4,737
7,738
1,739
5,740
1,741
4,742
3,743
3,744
6,745
4,746
4,747
3,748
10,749
1,750
5,751
2,752
3,753
6,754
8,755
3,756
5,757
3,758
3,760
5,761
5,762
6,763
9,764
3,765
4,766
8,767
3,768
7,769
4,770
9,771
5,772
4,773
6,774
12,775
2,776
4,777
5,778
8,779
2,780
5,781
2,782
4,783
5,784
4,785
2,786
5,787
3,788
3,789
3,791
6,792
3,793
7,794
3,795
6,796
7,797
4,798
3,799
4,800
3,801
5,802
2,803
6,804
5,805
4,806
2,807
2,808
1,809
2,810
5,811
6,812
3,813
5,814
6,815
5,816
5,817
5,818
5,819
4,820
2,821
6,822
5,823
5,826
7,827
5,828
4,829
3,830
4,831
4,832
2,833
1,834
2,835
2,836
4,837
5,838
2,839
3,840
1,841
4,842
4,843
1,844
7,845
4,846
4,847
2,848
2,849
3,850
3,851
6,852
3,853
2,854
2,855
2,856
3,857
3,858
3,859
2,860
3,861
3,863
1,864
8,865
3,866
2,867
3,868
5,869
1,870
5,871
2,872
6,873
3,874
5,875
1,876
2,877
2,878
3,879
1,880
3,881
4,882
6,883
1,884
3,885
6,886
5,888
3,889
2,890
4,891
4,892
1,893
6,894
6,895
1,896
8,897
2,898
5,899
3,900
4,901
1,902
1,903
7,904
4,905
5,907
4,908
2,909
2,910
2,912
5,913
4,914
1,915
2,916
1,918
2,920
1,921
1,922
2,923
6,924
1,925
4,926
1,927
2,928
3,930
2,931
5,932
5,933
2,934
8,935
2,936
1,937
3,938
5,939
3,940
2,941
3,942
4,943
1,944
3,945
4,946
3,947
3,948
1,949
8,950
5,951
2,952
4,953
1,954
3,956
3,957
3,958
3,959
2,960
2,961
3,962
1,963
2,964
4,965
2,966
1,967
4,969
5,970
3,971
2,972
1,973
2,974
3,975
4,976
4,977
2,978
2,979
2,980
1,981
5,982
1,983
2,984
5,987
2,989
5,990
3,991
3,992
2,993
2,994
1,995
2,996
5,997
8,998
2,999
5,1000
3,1001
1,1002
1,1003
3,1004
4,1005
3,1006
6,1007
6,1008
3,1009
1,1010
6,1011
3,1012
1,1013
3,1014
1,1015
2,1016
4,1017
3,1018
4,1019
2,1020
1,1021
6,1023
3,1024
2,1026
2,1027
3,1028
3,1029
1,1030
2,1031
1,1032
5,1033
1,1034
2,1035
3,1036
2,1037
1,1038
2,1039
3,1040
3,1041
3,1042
4,1043
3,1044
3,1045
2,1046
3,1047
5,1048
6,1050
5,1051
4,1052
2,1053
3,1054
3,1055
6,1056
1,1057
1,1058
1,1059
3,1060
4,1061
1,1062
2,1063
3,1064
2,1067
1,1068
1,1069
1,1071
2,1072
4,1073
2,1075
3,1076
1,1077
3,1078
4,1080
2,1081
5,1082
5,1084
1,1085
3,1086
2,1087
2,1089
1,1090
1,1091
1,1092
1,1093
3,1094
3,1095
4,1096
2,1097
1,1098
7,1100
1,1101
1,1102
3,1103
1,1104
3,1106
3,1107
3,1108
2,1109
3,1110
3,1111
2,1112
1,1113
5,1114
4,1115
3,1116
2,1117
2,1118
2,1120
3,1121
4,1122
3,1123
3,1125
2,1126
1,1127
1,1128
3,1129
2,1130
3,1131
1,1132
3,1133
4,1134
4,1135
5,1136
2,1137
3,1138
3,1139
2,1140
4,1141
1,1142
4,1143
1,1144
3,1145
1,1146
2,1147
2,1148
2,1149
3,1150
2,1151
2,1152
6,1153
1,1155
2,1156
2,1157
3,1158
2,1159
1,1160
3,1161
2,1163
3,1164
1,1165
2,1166
1,1167
3,1168
3,1169
1,1170
1,1171
4,1172
3,1173
3,1174
2,1175
1,1176
2,1177
3,1178
3,1179
5,1180
1,1181
3,1182
3,1183
2,1184
3,1185
2,1186
5,1188
3,1189
3,1190
3,1191
1,1192
2,1193
2,1194
6,1195
1,1196
2,1198
1,1199
4,1200
1,1201
2,1202
2,1203
2,1205
1,1206
4,1207
1,1208
4,1209
1,1210
4,1211
6,1212
1,1213
1,1214
2,1216
1,1217
1,1218
3,1219
4,1221
3,1222
2,1223
2,1224
5,1227
4,1228
2,1229
1,1230
2,1231
3,1232
1,1233
1,1234
1,1235
3,1237
3,1238
3,1239
2,1241
1,1242
2,1243
3,1244
1,1245
2,1246
2,1247
2,1249
4,1250
1,1251
2,1252
1,1253
1,1255
1,1256
1,1257
2,1258
1,1259
2,1260
3,1261
2,1262
3,1263
1,1264
3,1265
3,1266
4,1268
2,1269
1,1270
2,1271
1,1272
1,1273
1,1275
5,1276
3,1277
1,1278
2,1279
2,1280
2,1281
2,1283
2,1284
2,1286
3,1287
1,1288
4,1289
1,1290
3,1291
3,1292
2,1293
1,1294
1,1295
2,1296
1,1298
2,1299
2,1300
1,1301
2,1303
4,1305
2,1307
1,1308
3,1309
1,1310
1,1311
3,1312
3,1314
4,1315
1,1317
2,1318
1,1319
4,1320
1,1321
2,1322
4,1323
3,1324
2,1326
1,1327
1,1328
4,1329
1,1330
1,1331
2,1332
1,1333
1,1334
2,1335
2,1336
3,1337
2,1338
2,1339
3,1340
1,1341
1,1342
3,1343
3,1344
2,1345
3,1346
2,1347
3,1349
1,1351
1,1352
3,1353
1,1355
3,1356
3,1357
2,1358
1,1359
1,1360
1,1361
2,1362
1,1363
3,1364
2,1365
1,1367
3,1368
2,1369
2,1374
2,1375
2,1376
1,1377
1,1378
2,1379
1,1380
3,1381
3,1382
1,1383
1,1384
2,1385
3,1386
1,1387
3,1388
2,1389
2,1390
1,1391
1,1392
1,1393
1,1394
7,1395
2,1396
5,1397
1,1398
1,1400
1,1401
2,1402
1,1403
2,1404
2,1405
1,1406
3,1407
1,1408
3,1409
5,1410
2,1411
3,1412
3,1413
1,1414
3,1415
